player_id,player_name,nationality,batting_style,bowling_style,role,is_overseas,current_team_id,photo_url
PLY_0741,Vijaykumar Vyshak,India,Right-hand,Right-arm fast,Bowler,0,IPL_T20_PBKS,https://scores.iplt20.com/ipl/playerimages/Vijaykumar%20Vyshak.png
PLY_0497,Riyan Parag,India,Right-hand,Right-arm off-spin,Batter,0,IPL_T20_RR,https://scores.iplt20.com/ipl/playerimages/Riyan%20Parag.png
PLY_0742,Aman Rao,India,Right-hand,,Batter,0,IPL_T20_RR,https://scores.iplt20.com/ipl/playerimages/Aman%20Rao.png
PLY_0579,Shubham Dubey,India,Right-hand,Right-arm off-spin,Batter,0,IPL_T20_RR,https://scores.iplt20.com/ipl/playerimages/Shubham%20Dubey.png
PLY_0564,Shimron Hetmyer,Overseas,Left-hand,Right-arm medium,Batter,1,IPL_T20_RR,https://scores.iplt20.com/ipl/playerimages/Shimron%20Hetmyer.png
PLY_0684,Yashasvi Jaiswal,India,Left-hand,Right-arm off-spin,Batter,0,IPL_T20_RR,https://scores.iplt20.com/ipl/playerimages/Yashasvi%20Jaiswal.png
PLY_0170,Dhruv Jurel,India,Right-hand,,Wicketkeeper,0,IPL_T20_RR,https://scores.iplt20.com/ipl/playerimages/Dhruv%20Jurel.png
PLY_0743,Lhuan-dre Pretorius,Overseas,Right-hand,,Wicketkeeper,1,IPL_T20_RR,https://scores.iplt20.com/ipl/playerimages/Lhuan-dre%20Pretorius.png
PLY_0744,Ravi Singh,India,Right-hand,,Batter,0,IPL_T20_RR,https://scores.iplt20.com/ipl/playerimages/Ravi%20Singh.png
PLY_0652,Vaibhav Suryavanshi,India,Right-hand,,Batter,0,IPL_T20_RR,https://scores.iplt20.com/ipl/playerimages/Vaibhav%20Suryavanshi.png
PLY_0183,Donovan Ferreira,Overseas,Right-hand,Right-arm fast,Allrounder,1,IPL_T20_RR,https://scores.iplt20.com/ipl/playerimages/Donovan%20Ferreira.png
PLY_0485,Ravindra Jadeja,India,Left-hand,Left-arm off-spin,Allrounder,0,IPL_T20_RR,https://scores.iplt20.com/ipl/playerimages/Ravindra%20Jadeja.png
PLY_0154,Dasun Shanaka,Overseas,Right-hand,Right-arm fast,Allrounder,1,IPL_T20_RR,https://scores.iplt20.com/ipl/playerimages/Dasun%20Shanaka.png
PLY_0267,Jofra Archer,Overseas,Right-hand,Right-arm fast,Bowler,1,IPL_T20_RR,https://scores.iplt20.com/ipl/playerimages/Jofra%20Archer.png
PLY_0745,Brijesh Sharma,India,Right-hand,Right-arm fast,Bowler,0,IPL_T20_RR,https://scores.iplt20.com/ipl/playerimages/Brijesh%20Sharma.png
PLY_0746,Nandre Burger,Overseas,Left-hand,Left-arm fast,Bowler,1,IPL_T20_RR,https://scores.iplt20.com/ipl/playerimages/Nandre%20Burger.png
PLY_0639,Tushar Deshpande,India,Right-hand,Right-arm fast,Bowler,0,IPL_T20_RR,https://scores.iplt20.com/ipl/playerimages/Tushar%20Deshpande.png
PLY_0313,Kwena Maphaka,Overseas,Right-hand,Right-arm fast,Bowler,1,IPL_T20_RR,https://scores.iplt20.com/ipl/playerimages/Kwena%20Maphaka.png
PLY_0018,Adam Milne,Overseas,Right-hand,Right-arm fast,Bowler,1,IPL_T20_RR,https://scores.iplt20.com/ipl/playerimages/Adam%20Milne.png
PLY_0747,Sushant Mishra,India,Right-hand,Right-arm fast,Bowler,0,IPL_T20_RR,https://scores.iplt20.com/ipl/playerimages/Sushant%20Mishra.png
